municipio;Numero_Sistemas
Teresina;27396
Parnaíba;3611
Picos;2956
Floriano;2059
Piripiri;1361
Campo Maior;1139
Oeiras;1082
Altos;729
Piracuruca;705
São Raimundo Nonato;534
Bom Jesus;454
Luís Correia;439
Esperantina;433
Valença do Piauí;405
Paulistana;404
José de Freitas;389
Barras;382
Uruçuí;368
Canto do Buriti;367
São João do Piauí;364
Pedro II;337
União;321
Água Branca;314
Cocal;309
Guadalupe;270
Batalha;243
Jaicós;226
Luzilândia;223
Corrente;222
Simplício Mendes;220
Castelo do Piauí;216
Francisco Santos;213
Demerval Lobão;184
Fronteiras;183
Inhuma;178
Itaueira;173
Buriti dos Lopes;165
Pio IX;150
Alto Longá;142
Simões;142
Amarante;141
Itainópolis;137
Sussuapara;136
Alagoinha do Piauí;129
São Miguel do Tapuio;128
Miguel Alves;126
Cocal dos Alves;125
Regeneração;124
São Pedro do Piauí;123
Cristino Castro;119
Cajueiro da Praia;119
Brasileira;113
Angical do Piauí;107
Elesbão Veloso;106
Monsenhor Hipólito;105
São José do Divino;101
Ipiranga do Piauí;100
Dom Expedito Lopes;99
São Julião;95
Capitão de Campos;92
Geminiano;89
Jacobina do Piauí;88
Queimada Nova;87
Isaías Coelho;87
Santa Cruz do Piauí;86
São Gonçalo do Piauí;84
Nazaré do Piauí;84
Beneditinos;80
Santo Antônio de Lisboa;79
Floresta do Piauí;78
Curimatá;78
Baixa Grande do Ribeiro;77
Acauã;76
Bocaina;75
Campinas do Piauí;73
Bertolínia;72
Cabeceiras do Piauí;71
Anísio de Abreu;71
Gilbués;71
Rio Grande do Piauí;70
Conceição do Canindé;70
São João da Serra;69
Betânia do Piauí;66
Monsenhor Gil;66
Nossa Senhora de Nazaré;66
Colônia do Piauí;66
Palmeirais;64
Sebastião Leal;62
Manoel Emídio;62
Caracol;60
Brejo do Piauí;59
Francisco Ayres;58
Santo Inácio do Piauí;57
Domingos Mourão;56
Monte Alegre do Piauí;55
Lagoa do Piauí;55
Porto;55
Joaquim Pires;54
Lagoa Alegre;54
Landri Sales;54
Pimenteiras;54
Campo Grande do Piauí;54
Paes Landim;53
Santa Rosa do Piauí;53
Novo Oriente do Piauí;53
São Francisco do Piauí;51
Matias Olímpio;51
São José do Piauí;50
Colônia do Gurguéia;49
Palmeira do Piauí;49
Socorro do Piauí;49
Padre Marcos;49
Assunção do Piauí;49
Madeiro;48
Patos do Piauí;48
Ilha Grande;48
Caraúbas do Piauí;47
Dirceu Arcoverde;47
Redenção do Gurguéia;46
São João da Fronteira;45
Sigefredo Pacheco;45
Jerumenha;45
Boqueirão do Piauí;45
Lagoa do Barro do Piauí;44
Pavussu;44
Dom Inocêncio;44
Flores do Piauí;44
Aroazes;43
Alegrete do Piauí;43
Wall Ferraz;43
Morro do Chapéu do Piauí;42
Bom Princípio do Piauí;42
Eliseu Martins;42
São Félix do Piauí;41
Agricolândia;40
Parnaguá;39
Jatobá do Piauí;39
São João da Canabrava;39
Francinópolis;38
Antônio Almeida;38
Santana do Piauí;37
Ribeiro Gonçalves;37
Arraial;37
Caldeirão Grande do Piauí;36
São Miguel do Fidalgo;36
Nova Santa Rita;35
Avelino Lopes;35
Marcos Parente;34
Várzea Grande;34
Coivaras;34
Barro Duro;34
Cocal de Telha;34
Campo Alegre do Fidalgo;34
Marcolândia;32
São Miguel da Baixa Grande;30
Belém do Piauí;29
Francisco Macedo;29
Murici dos Portelas;29
Lagoa de São Francisco;29
Novo Santo Antônio;29
Joca Marques;29
Hugo Napoleão;28
Juazeiro do Piauí;28
Buriti dos Montes;28
Bela Vista do Piauí;28
Pedro Laurentino;28
Massapê do Piauí;28
São João da Varjota;28
Caridade do Piauí;27
Prata do Piauí;27
Paquetá;27
Santa Filomena;26
São João do Arraial;26
Barra D'Alcântara;25
Pajeú do Piauí;25
Vera Mendes;25
São José do Peixe;25
Santa Cruz dos Milagres;24
Milton Brandão;24
Nossa Senhora dos Remédios;24
Caxingó;24
Curralinhos;24
Barreiras do Piauí;23
Ribeira do Piauí;23
Campo Largo do Piauí;23
Boa Hora;23
Vila Nova do Piauí;23
Coronel José Dias;22
Canavieira;22
Tanque do Piauí;22
São Francisco de Assis do Piauí;21
Tamboril do Piauí;21
Cristalândia do Piauí;20
Santa Luz;20
João Costa;20
Capitão Gervásio Oliveira;19
Alvorada do Gurguéia;19
São Luis do Piauí;19
Olho D'Água do Piauí;19
Júlio Borges;19
São Lourenço do Piauí;18
Bonfim do Piauí;18
Porto Alegre do Piauí;17
Fartura do Piauí;16
Várzea Branca;16
Curral Novo do Piauí;15
Cajazeiras do Piauí;15
Lagoa do Sítio;14
Currais;13
Jurema;13
Jardim do Mulato;13
Santo Antônio dos Milagres;9
Lagoinha do Piauí;9
Sebastião Barros;9
São Gonçalo do Gurguéia;7
Morro Cabeça no Tempo;7
Passagem Franca do Piauí;7
Riacho Frio;6
São Braz do Piauí;6
Guaribas;5
Miguel Leão;4
